ID,Timestamp,Responses,Category
1,2024-01-10T10:00:00Z,"The interface is very intuitive and easy to use. I love the clean design.",Positive
2,2024-01-10T10:05:00Z,"It took me a while to find the settings menu. Maybe make it more prominent?",Feedback
3,2024-01-10T10:15:00Z,"Excellent customer support! They resolved my issue quickly.",Positive
4,2024-01-11T11:00:00Z,"The app crashed twice yesterday. Needs more stability testing.",Bug Report
5,2024-01-11T11:30:00Z,"I wish there was a dark mode option. The white screen is hard on the eyes.",Feature Request
6,2024-01-12T09:00:00Z,"Loading times seem a bit slow, especially on the dashboard.",Feedback
7,2024-01-12T09:05:00Z,"Easy setup process, I was up and running in minutes. Great job!",Positive
8,2024-01-13T14:00:00Z,"The documentation could be clearer on API integration.",Feedback
9,2024-01-13T15:00:00Z,"Love the new reporting feature! It's very insightful.",Positive
10,2024-01-14T16:00:00Z,"Can we get an option to export data to Excel? That would be useful.",Feature Request
11,2024-01-14T16:10:00Z,"The mobile app experience is not as smooth as the web version.",Feedback
12,2024-01-15T10:00:00Z,"Found a typo in the user profile section.",Bug Report
13,2024-01-15T10:30:00Z,"Overall a great tool, very helpful for our team's productivity.",Positive
14,2024-01-16T11:00:00Z,"The search function doesn't always return relevant results.",Feedback
15,2024-01-16T11:15:00Z,"Integration with Slack was seamless. Very easy.",Positive
